Rec-size: 280
Row:	Col:	Val:
(251	77	0.008264)
(251	87	-0.016529)
(251	97	0.008264)
(254	78	0.008264)
(254	88	-0.016529)
(254	98	0.008264)
(257	79	0.008264)
(257	89	-0.016529)
(257	99	0.008264)
(260	80	0.008264)
(260	90	-0.016529)
(262	81	0.008264)
(262	91	-0.016529)
(264	82	0.008264)
(264	92	-0.016529)
(266	83	0.008264)
(266	93	-0.016529)
(268	84	0.008264)
(268	94	-0.016529)
(270	85	0.008264)
(270	95	-0.016529)
(272	86	0.008264)
(272	96	-0.016529)
(274	87	0.008264)
(274	97	-0.016529)
(276	88	0.008264)
(276	98	-0.016529)
(278	89	0.008264)
(278	99	-0.016529)
0
(-40704072	0.000000)
(10963	0.000000)
(-40704072	0.000000)
(10963	0.000000)
(0	0.000000)
(0	0.000000)
(417	0.000000)
(0	0.000000)
(-40704072	0.000000)
(10963	0.000000)
(-40704072	0.000000)
(10963	0.000000)
(0	0.000000)
(0	0.000000)
(0	0.000000)
(0	0.000000)
(1634754399	0.000000)
(1601003890	0.000000)
(171662645	0.000000)
(1882088556	0.000000)
(1835102817	0.000000)
(875984174	0.000000)
(1685202208	0.000000)
(1528835128	0.000000)
(858872415	0.000000)
(1951617603	0.000000)
(1279607663	0.000000)
(1230193484	0.000000)
(1785358919	0.000000)
(1766876240	0.000000)
(1398747219	0.000000)
(1597002591	0.000000)
(1398747219	0.000000)
(1885298480	0.000000)
(1835102817	0.000000)
(995964511	0.000000)
(778333194	0.000000)
(1634886000	0.000000)
(913649261	0.000000)
(1915035700	0.000000)
(539769188	0.000000)
(828006235	0.000000)
(1397900083	0.000000)
(1162047348	0.000000)
(1396919372	0.000000)
(1785349961	0.000000)
(1348751466	0.000000)
(1597002601	0.000000)
(810770259	0.000000)
(1597002591	0.000000)
(1600073811	0.000000)
(1634886000	0.000000)
(1563909997	0.000000)
(1684802107	0.000000)
(1918988334	0.000000)
(1965976929	0.000000)
(622867510	0.000000)
(808543346	0.000000)
(1599807532	0.000000)
(1127428442	0.000000)
(1869894482	0.000000)
(1280066883	0.000000)
(1195987779	0.000000)
(1349151338	0.000000)
(1399410788	0.000000)
(1599299376	0.000000)
(1398747219	0.000000)
(810770224	0.000000)
(1634754399	0.000000)
(1601003890	0.000000)
(171662648	0.000000)
(1882088556	0.000000)
(1835102817	0.000000)
(875984174	0.000000)
(1685202208	0.000000)
(539767089	0.000000)
(828006235	0.000000)
(1397900083	0.000000)
(1162047348	0.000000)
(1396919372	0.000000)
(1785349961	0.000000)
(1348751466	0.000000)
(1597002601	0.000000)
(810770259	0.000000)
(1597002591	0.000000)
(1600073811	0.000000)
86
(1634886000	0.000000)
(1564041069	0.000000)
(1986202171	0.000000)
(1949196660	0.000000)
(1818701423	0.000000)
(1818321519	0.000000)
(875984174	0.000000)
(1685202208	0.000000)
(539767345	0.000000)
(828666405	0.000000)
(1829387056	0.000000)
(1965979247	0.000000)
(622866995	0.000000)
(741880946	0.000000)
(171651104	0.000000)
(1731097715	0.000000)
(1633841004	0.000000)
(863317612	0.000000)
(626729010	0.000000)
(842097778	0.000000)
(622865501	0.000000)
(993539186	0.000000)
(1952805642	0.000000)
(1902456432	0.000000)
(2609	0.000000)
(0	0.000000)
(-40704072	0.000000)
(10963	0.000000)
(-40704072	0.000000)
(10963	0.000000)
(0	0.000000)
(0	0.000000)
(0	0.000000)
(0	0.000000)
(1869885025	0.000000)
(1869375278	0.000000)
(778854754	0.000000)
(540292725	0.000000)
(845443621	0.000000)
(622865457	0.000000)
(825320562	0.000000)
(1986202171	0.000000)
(1949196660	0.000000)
(1818701423	0.000000)
(1818321519	0.000000)
(875984174	0.000000)
(1685202208	0.000000)
(539768370	0.000000)
(895775269	0.000000)
(1986202171	0.000000)
(1949196660	0.000000)
(1818701423	0.000000)
(1818321519	0.000000)
(875984174	0.000000)
(1685202208	0.000000)
(539767347	0.000000)
(912552485	0.000000)
(1869417019	0.000000)
(863317622	0.000000)
(1915035698	0.000000)
(539769140	0.000000)
(942961189	0.000000)
(1919027771	0.000000)
(1853173345	0.000000)
(1111629929	0.000000)
(993156917	0.000000)
(1111624202	0.000000)
(825319221	0.000000)
(1684802106	0.000000)
(1869375278	0.000000)
(778854754	0.000000)
(540160885	0.000000)
(942961189	0.000000)
(626729004	0.000000)
(808608882	0.000000)
(995963947	0.000000)
(1684300042	0.000000)
(842232622	0.000000)
(879895840	0.000000)
(622865465	0.000000)
(741946482	0.000000)
(171651360	0.000000)
(893534730	0.000000)
(171586143	0.000000)
(778859885	0.000000)
(1932423020	0.000000)
(622866995	0.000000)
(741422450	0.000000)
(879895840	0.000000)
(622865465	0.000000)
(993014642	0.000000)
(1684300042	0.000000)
(842232622	0.000000)
(863118624	0.000000)
(622865460	0.000000)
(741422450	0.000000)
182
(863118624	0.000000)
(1661614896	0.000000)
(778138742	0.000000)
(1731096436	0.000000)
(1633841004	0.000000)
(913649260	0.000000)
(1915035700	0.000000)
(741552484	0.000000)
(1685202208	0.000000)
(1829387063	0.000000)
(1999531125	0.000000)
(778396777	0.000000)
(540160885	0.000000)
(828666405	0.000000)
(622865460	0.000000)
(741618546	0.000000)
(171652128	0.000000)
(778331233	0.000000)
(540292723	0.000000)
(828666405	0.000000)
(622865461	0.000000)
(858874994	0.000000)
(1915035692	0.000000)
(993276260	0.000000)
(1819634954	0.000000)
(1684633390	0.000000)
(863317605	0.000000)
(1915035698	0.000000)
(741749092	0.000000)
(896673056	0.000000)
(874523697	0.000000)
(1684081211	0.000000)
(913518180	0.000000)
(1915035700	0.000000)
(741814628	0.000000)
(1685202208	0.000000)
(539767601	0.000000)
(828666405	0.000000)
(1812609846	0.000000)
(1818701412	0.000000)
(1818321519	0.000000)
(842233134	0.000000)
(863118624	0.000000)
(1528835125	0.000000)
(828666405	0.000000)
(171662647	0.000000)
(1731093612	0.000000)
(1633841004	0.000000)
(863317612	0.000000)
(1915035698	0.000000)
(539768371	0.000000)
(1685202267	0.000000)
(995964209	0.000000)
(1651864330	0.000000)
(842232622	0.000000)
(863118624	0.000000)
(622865463	0.000000)
(741749618	0.000000)
(863118624	0.000000)
(1628060469	0.000000)
(1932420196	0.000000)
(622866995	0.000000)
(741880690	0.000000)
(863118624	0.000000)
(622865463	0.000000)
(993539186	0.000000)
(1819634954	0.000000)
(1684633390	0.000000)
(863186533	0.000000)
(1915035698	0.000000)
(741945700	0.000000)
(879895840	0.000000)
(874523705	0.000000)
(1684081211	0.000000)
(913518180	0.000000)
(1915035700	0.000000)
(741356132	0.000000)
(1685202208	0.000000)
(539767345	0.000000)
(828666405	0.000000)
(1930050361	0.000000)
(1818701428	0.000000)
(1818321519	0.000000)
(842233134	0.000000)
(1915050784	0.000000)
(724578916	0.000000)
(539778356	0.000000)
(942895653	0.000000)
(1768163899	0.000000)
(863317622	0.000000)
272
